index_date,index_place,index_product,index_value,base_volume,base_amount,base_trades
2018-01-15,DAL,TRD,45410.0,2275,103307880,23
2018-01-15,EVR,DTL,40377.0,1300,52490700,8
2018-01-15,EVR,DTM,39533.0,9925,392367790,81
2018-01-15,EVR,DTZ,44388.0,6745,299399135,56
2018-01-15,EVR,MZT,11336.0,4485,50843910,59
2018-01-15,EVR,PRM,40527.0,11040,447422220,104
2018-01-15,EVR,REG,39954.0,21180,846229860,188
2018-01-15,EVR,SUG,19886.0,1371,27264110,24
2018-01-15,EVR,TRD,43715.0,2491,108894314,28
2018-01-15,SIB,DTL,39781.0,2220,88314180,17
2018-01-15,SIB,DTM,0.0,0,0,0
2018-01-15,SIB,DTZ,47483.0,4290,203705895,34
2018-01-15,SIB,MZT,14605.0,4030,58860425,50
2018-01-15,SIB,PRM,39840.0,4380,174502800,45
2018-01-15,SIB,REG,39470.0,8820,348132660,88
2018-01-15,SIB,SUG,17909.0,1886,33777630,31
2018-01-15,SIB,TRD,44544.0,2790,124278905,28
2018-01-16,DAL,DTL,0.0,0,0,0
2018-01-16,DAL,DTM,0.0,0,0,0
2018-01-16,DAL,DTZ,48648.0,3205,155917710,31
2018-01-16,DAL,MZT,14141.0,3250,45960850,28
2018-01-16,DAL,PRM,42496.0,1560,66294780,18
2018-01-16,DAL,REG,40153.0,6900,277059540,75
2018-01-16,DAL,TRD,44742.0,1885,84339775,17
2018-01-16,EVR,DTL,40456.0,800,32365000,6
2018-01-16,EVR,DTM,39355.0,10170,400248725,90
2018-01-16,EVR,DTZ,44116.0,10000,441169840,95
2018-01-16,EVR,MZT,11446.0,4095,46875075,51
2018-01-16,EVR,PRM,39784.0,14220,565731480,143
2018-01-16,EVR,REG,39183.0,23400,916891560,219
2018-01-16,EVR,SUG,19818.0,896,17757232,16
2018-01-16,EVR,TRD,42949.0,2949,126659446,21
2018-01-16,SIB,DTL,39723.0,1720,68324000,12
2018-01-16,SIB,DTM,0.0,0,0,0
2018-01-16,SIB,DTZ,47081.0,5015,236114275,43
2018-01-16,SIB,MZT,12795.0,2990,38258350,25
2018-01-16,SIB,PRM,39138.0,4620,180817740,45
2018-01-16,SIB,REG,38779.0,14760,572392200,137
2018-01-16,SIB,SUG,17948.0,1200,21538740,22
2018-01-16,SIB,TRD,43941.0,2340,102822785,21
2018-01-17,DAL,DTL,0.0,0,0,0
2018-01-17,DAL,DTM,0.0,0,0,0
2018-01-17,DAL,DTZ,49050.0,3855,189089755,29
2018-01-17,DAL,MZT,14812.0,2470,36586940,31
2018-01-17,DAL,PRM,42553.0,1740,74043060,19
2018-01-17,DAL,REG,40097.0,6780,271863840,71
2018-01-17,DAL,TRD,44880.0,1235,55427450,12
2018-01-17,EVR,DTL,40723.0,1100,44796300,7
2018-01-17,EVR,DTM,39562.0,10765,425886135,82
2018-01-17,EVR,DTZ,43713.0,10860,474733040,97
2018-01-17,EVR,MZT,11431.0,3770,43097665,49
2018-01-17,EVR,PRM,39548.0,16920,669163020,185
2018-01-17,EVR,REG,39248.0,30060,1179818520,299
2018-01-17,EVR,SUG,19467.0,1044,20323958,22
2018-01-17,EVR,TRD,41977.0,1859,78036106,21
2018-01-17,SIB,DTL,40018.0,2060,82437540,16
2018-01-17,SIB,DTM,0.0,0,0,0
2018-01-17,SIB,DTZ,46574.0,6265,291788730,51
2018-01-17,SIB,MZT,13317.0,2665,35490520,35
2018-01-17,SIB,PRM,39096.0,6660,260384100,74
2018-01-17,SIB,REG,38834.0,15240,591835920,148
2018-01-17,SIB,SUG,17811.0,1458,25969654,31
2018-01-17,SIB,TRD,43398.0,1750,75946820,18
2018-01-18,DAL,DTL,0.0,0,0,0
2018-01-18,DAL,DTM,0.0,0,0,0
2018-01-18,DAL,DTZ,47948.0,2415,115796415,24
2018-01-18,DAL,MZT,15220.0,2535,38584520,34
2018-01-18,DAL,PRM,42603.0,1980,84355380,24
2018-01-18,DAL,REG,40282.0,6720,270695100,67
2018-01-18,DAL,TRD,44636.0,1365,60929050,13
2018-01-18,EVR,DTL,40629.0,700,28440300,5
2018-01-18,EVR,DTM,39762.0,7240,287880665,64
2018-01-18,EVR,DTZ,44102.0,8695,383475400,76
2018-01-18,EVR,MZT,11588.0,3055,35403485,42
2018-01-18,EVR,PRM,39401.0,13500,531925920,138
2018-01-18,EVR,REG,38879.0,18120,704494320,139
2018-01-18,EVR,SUG,19116.0,786,15025600,15
2018-01-18,EVR,TRD,41174.0,2170,89348185,21
2018-01-18,SIB,DTL,40019.0,1660,66431700,12
2018-01-18,SIB,DTM,0.0,0,0,0
2018-01-18,SIB,DTZ,46306.0,5390,249591995,45
2018-01-18,SIB,MZT,13270.0,2405,31915065,33
2018-01-18,SIB,PRM,38847.0,6660,258726420,66
2018-01-18,SIB,REG,38820.0,12540,486811080,105
2018-01-18,SIB,SUG,17464.0,1430,24973684,22
2018-01-18,SIB,TRD,42965.0,2205,94739100,19
2018-01-19,DAL,DTL,0.0,0,0,0
2018-01-19,DAL,DTM,0.0,0,0,0
